,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,
Week,Opponent,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass
1,MIA,1,13:54,Tied,1,10,-38,Pass,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,,,Lockett (BO),,,,,WR Screen R,S,,,Over,5,,2,,,,,,,,
1,MIA,1,10:45,Tied,2,12,-31,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Michael (R RB, 2)",Catch,0,,,Swing R,S,,,Over,4,,12,,,,,,,,
1,MIA,1,9:02,Tied,2,9,-45,Pass,11,"""*3x1-"", closed R, bunch L*, pistol",,,,Kearse (BO),Catch,5,,,WR Screen L,S,,,Over,4,,21,,,,,,,,
1,MIA,1,7:49,Tied,1,10,43,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L3),Catch,14,,"Hard, roll",RS,S,,,Over,5,,,,,,,,,,
1,MIA,1,5:56,Tied,3,9,16,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,,"Sack, M. Williams",-5,,,,,,,Over,4,,,,,,,,,,
1,MIA,1,1:09,Up 3,1,10,-17,Run,11,"""+3x1+"", stack L*, shotgun offset R",,Prosise,,,,-2,,,,,M,,Over,,,,,,,,,,,
1,MIA,2,3:57,Tied,1,10,-18,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Throwaway,Inc.,0,,"Hard, roll",,,,,Over,4,,,,,,,,,,
1,MIA,3,9:37,Up 3,3,22,-18,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Lockett (L2),Inc.,0,,,WR Screen L,S,,,2 Eagle Even,4,,,,,,,,,,
1,MIA,3,7:11,Up 3,1,10,40,Run,11,"""*3x1-"", closed R, bunch L*, pistol",,Rawls,,,,5,,,,,OR,,Over,,,,,,,,,,,
1,MIA,3,5:02,Up 3,4,1,31,Pass,11,"""-1x3+"", closed L, shotgun offset R",,,,Baldwin (R3),Inc.,0,,,RS,S,,,Over,4,,,,,,,,,,
1,MIA,3,1:03,Up 3,3,7,-27,Pass,11,"""-1x3+"", shotgun offset L",,,,Baldwin (R3),Inc.,0,"Roughing passer, Wake, +15",,LS,D,,,Over,4,,,,,,,,,,
1,MIA,4,10:41,Up 3,1,10,-20,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Rawls (R RB, 2)",Catch,6,,,RS,S,,,Over,4,,,,,,,,,,
1,MIA,4,7:20,Up 3,3,6,41,Pass,11,"""+3x1*"", shotgun offset R",,,,"Michael (R RB, 2)",Inc.,0,,,RS,S,,,Under,4,,,,,,,,,,
1,MIA,4,4:08,Down 4,1,10,-25,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"L. Wilson (R LOS TE, 1)",Inc.,0,,,RS,IS,,,Over,4,,,,,,,,,,
1,MIA,4,3:05,Down 4,4,1,-34,Run,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",TE in,Michael,,,,7,,,,,M,,Under,,,,,,,,,,,
1,MIA,4,2:11,Down 4,3,4,-47,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Kearse (R3),"LOS PD, Suh",0,,,LM,S,,,Over,4,,,,,,,,,,
1,MIA,4,2:08,Down 4,4,4,-47,Pass,11,"""-1x3+"", shotgun offset L",,,,Baldwin (R3),Catch,22,,,LM,IS,,,2 Eagle Even,4,,,,,,,,,,
1,MIA,4,1:57,Down 4,2,6,27,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Catch,11,,,LM,S,,,Over,4,,,,,,,,,,
1,MIA,4,0:57,Down 4,1,G-2,2,Run,11,"""+3x1-"", closed R, bunch L*, shotgun offset R",,Michael,,,,2,,,,,M,,2 Eagle Odd,,,,,,,,,,,
2,at LA,1,6:53,Down 3,1,10,-19,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Rawls (R RB, 2)",Catch,2,,,RM,S,,,Over,4,,,,,,,,,,
2,at LA,1,6:22,Down 3,2,10,-21,Run,11,"""*3x1-"", closed R, bunch L-, shotgun offset R",,R. Wilson,,,,-2,,,,,OR,,Over,,,,,,,,,,,
2,at LA,1,5:29,Down 3,3,5,-24,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L3),Catch,7,,,LM,S,,,Other Odd,5,,,,,,,,,,
2,at LA,1,0:35,Down 3,1,G-13,13,Pass,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,,,Lockett (BO),Catch,4,,"Def. face mask, T. Johnson, +5",WR Screen R,S,,,Over,4,,,,,,,,,,
2,at LA,2,14:54,Down 3,3,G-5,5,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Kearse (L2),Inc.,0,,,LS,S,,,2 Eagle Odd,4,,,,,,,,,,
2,at LA,2,13:43,Tied,1,10,-19,Run,12,"""-1x3+"", closed L, shotgun offset L",,Michael,"C, RG",,,3,,,,,OR,,Over,,,,,,,,,,,
2,at LA,2,13:08,Tied,2,7,-22,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (R3),Catch,8,,,LS,S,,,Over,4,,,,,,,,,,
2,at LA,2,10:44,Tied,3,7,-33,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Richardson (L1),Inc.,0,,,LS,D,,,Other Odd,4,,,,,,,,,,
2,at LA,2,6:31,Tied,3,10,-35,Pass,11,"""-1x3-"", closed L, bunch R-, shotgun offset L",,,,Richardson (BI),Catch,14,,,RS,IS,,,2 Eagle Even,4,,,,,,,,,,
2,at LA,2,1:01,Down 3,1,10,-14,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Catch,9,,,LM,S,,,Other Odd,4,,,,,,,,,,
2,at LA,3,5:47,Down 3,1,10,-20,Run,11,"""+3x1-"", closed R, shotgun offset L",,Michael,"LG, C, RG",,,16,,,,,OR,,Over,,,,,,,,,,,
2,at LA,3,5:18,Down 3,1,10,-36,Run,11,"""*3x1-"", closed R, bunch L-, shotgun offset L",,Collins,"LG, C, RG",,,,,,,,OR,,Over,,,,,,,,,,,
2,at LA,4,14:10,Down 6,1,10,-25,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Kearse (L2),Catch,2,,,LS,S,,,Over,4,,,,,,,,,,
2,at LA,4,13:39,Down 6,2,8,-27,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),Inc.,0,,,LS,D,,,2 Eagle Odd,4,,,,,,,,,,
2,at LA,4,6:51,Down 6,2,10,-39,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),Inc.,0,,,RS,S,,,Other Odd,4,,,,,,,,,,
2,at LA,4,1:27,Down 6,2,15,40,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),Catch,5,,,RM,S,,,Other Odd,5,,,,,,,,,,
3,SF,1,11:19,Up 7,2,10,-38,Pass,12,"""+3x1-"", closed R, shotgun offset R",,,,"Michael (R RB, 2)",Catch,0,,,Swing R,S,,,Over,4,,,,,,,,,,
3,SF,1,6:38,Up 7,1,10,25,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Collins (L RB, 2)",Catch,9,,,LM,S,,,Other Odd,4,,,,,,,,,,
3,SF,1,4:49,Up 7,2,13,16,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Catch,12,,,LM,S,,,Over,4,,,,,,,,,,
3,SF,1,4:11,Up 7,3,1,4,Run,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,"Michael, TD",,,,4,,,,,M,,Under,,,,,,,,,,,
3,SF,1,2:22,Up 14,1,10,-20,Run,11,"""+3x1-"", closed R, bunch L-, shotgun offset L",,Michael,,,,0,,,,,M,,Under,,,,,,,,,,,
3,SF,1,1:42,Up 14,2,9,-20,Run,11,"""+3x1-"", closed R, singleback",,Michael,,,,-1,,,,,IR,,Other Odd,,,,,,,,,,,
3,SF,2,8:52,Up 11,2,14,-23,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)","LOS PD, Brooks",0,,,M,S,,,Over,4,,,,,,,,,,
3,SF,2,8:00,Up 11,1,10,18,Pass,12,"""-1x3-"", bunch R-, shotgun offset L",,,,Graham (BP),"Catch, TD",18,,,LM,D,,,Over,5,,,,,,,,,,
3,SF,2,3:46,Up 18,2,10,-43,Run,11,"""+3x1-"", closed R, pistol",,Michael,,,,7,"Off. Holding, Webb, -10",,,,IL,,Other Odd,,,,,,,,,,,
3,SF,2,3:17,Up 18,2,20,-33,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Graham (R LOS TE, 1)",Catch,3,,,LM,S,,,Other Even,4,,,,,,,,,,
3,SF,2,2:04,Up 18,1,10,24,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L1),Inc.,0,,,LS,D,,,Other Odd,5,,,,,,,,,,
3,SF,2,1:22,Up 18,3,1,15,Run,11,"""-1x3+"", closed L, bunch R-, shotgun offset L",,Michael,,,,0,,,,,M,,Other Odd,,,,,,,,,,,
3,SF,3,13:28,Up 21,1,10,-9,Pass,12,"""-1x3-"", bunch R-, shotgun offset L",,,,Throwaway,Inc.,0,,,,,,,Under,4,,,,,,,,,,
3,SF,3,10:15,Up 21,2,21,37,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LS,IS,,,Over,4,,,,,,,,,,
3,SF,3,8:32,Up 21,2,17,29,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),Catch,10,,,RS,S,,,2 Eagle Odd,5,,,,,,,,,,
3,SF,3,1:30,Up 27,1,10,-42,Run,12,"""+3x1+"", shotgun offset R",,Michael,,,,7,,,,,M,,Over,,,,,,,,,,,
3,SF,4,14:18,Up 27,1,10,20,Run,11,"""+1x3+"", shotgun offset R",,Boykin,,,,0,,,,,OR,,Under,,,,,,,,,,,
3,SF,4,7:50,Up 27,1,10,-25,Pass,11,"""+3x1+"", shotgun offset L",,,,Kearse (R3),Catch,9,,Hard,WR Screen R,S,,,Over,4,,,,,,,,,,
3,SF,4,5:08,Up 27,3,1,-47,Pass,11,"""+1x3+"", shotgun offset R",,,,Kearse (R3),Catch,2,,Hard,WR Screen R,S,,,Over,3,,,,,,,,,,
4,at NYJ,1,5:18,Down 3,1,10,-35,Pass,12,"""+1x3+"", shotgun offset L",,,,Graham (L1),Catch,17,,,LS,IS,,,Over,5,,,,,,,,,,
4,at NYJ,2,7:10,Up 4,1,10,-35,Run,12,"""-1x3+"", closed L, singleback",TE in,Michael,RT,,,1,,,,,IR,,2 Eagle Odd,,,,,,,,,,,
4,at NYJ,2,6:30,Up 4,2,9,-36,Pass,12,"""-3x1-"", closed R, singleback",TE in,,,Kearse (L1),Catch,10,,,WR Screen L,S,,,Under,4,,,,,,,,,,
4,at NYJ,2,4:31,Up 4,3,3,47,Run,11,"""+3x1-"", closed R, bunch L+, shotgun offset R",,Michael,,,,4,,,,,M,,Over,,,,,,,,,,,
4,at NYJ,3,14:18,Up 4,2,7,-25,Run,12,"""-1x3+"", closed L, shotgun offset L",TE out,,,"Michael (L RB, 2)",Catch,6,,,Swing L,S,,,2 Eagle Odd,5,,,,,,,,,,
4,at NYJ,3,7:43,Up 4,1,10,-45,Pass,12,"""-1x3+"", closed L, shotgun offset L",,,,"L. Wilson (L LOS TE, 1)",Inc.,0,,,LM,ID,,,2 Eagle Odd,5,,,,,,,,,,
4,at NYJ,3,4:28,Up 4,2,10,14,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LS,ID,,,Under,5,,,,,,,,,,
4,at NYJ,4,10:31,Up 14,3,11,-24,Pass,11,"""-1x3-"", bunch R-, shotgun offset L",,,,Graham (L1),Catch,13,,,RM,S,,,Double A Gap,5,,,,,,,,,,
4,at NYJ,4,4:55,Up 14,3,11,21,Pass,11,"""-1x3+"", shotgun offset L",,,,,"Sack, Skrine",-14,,,,,,,Under,4,,,,,,,,,,
4,at NYJ,4,2:14,Up 10,1,10,-47,Run,11,"""+1x3*"", bunch R-, shotgun offset L",,Michael,,,,6,,,,,M,,2 Eagle Odd,,,,,,,,,,,
6,ATL,1,13:45,Tied,1,10,-35,Pass,11,"""-1x3+"", shotgun offset R",RB bk,,,Kearse (R1),Catch,16,,"Hard, roll",RS,S,,,Under,4,,,,,,,,,,
6,ATL,1,12:11,Tied,3,2,41,Run,11,"""-1x3*"", closed L, bunch R-, shotgun offset L",,Michael,,,,-4,,,,,M,,Under,,,,,,,,,,,
6,ATL,1,7:39,Tied,1,10,-14,Pass,11,"""+3x1+"", shotgun offset R",,,,"Michael (R RB, 2)",Catch,2,,,RB Screen R,S,,,Other Odd,4,,,,,,,,,,
6,ATL,1,6:08,Tied,1,10,-24,Run,11,"""-1x3+"", closed L, singleback",,Michael,,,,21,,,,,IR,,Over,,,,,,,,,,,
6,ATL,1,2:07,Tied,1,G-9,9,Run,11,"""-1x3+"", closed L, singleback",,Michael,,,,9,,,,,IR,,Over,,,,,,,,,,,
6,ATL,2,14:16,Up 7,2,8,-21,Run,11,"""+3x1-"", closed R, shotgun offset L",,Michael,,,,1,,,,,M,,Over,,,,,,,,,,,
6,ATL,2,13:32,Up 7,3,8,-21,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LM,S,,,Other Odd,5,,,,,,,,,,
6,ATL,2,7:53,Up 4,1,10,-41,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Michael (R RB, 2)",Catch,8,,,Swing R,S,,,Over,5,,,,,,,,,,
6,ATL,2,5:20,Up 4,1,10,26,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Spiller (R RB, 2)",Catch,24,,,M,IS,,,Over,4,,,,,,,,,,
6,ATL,2,1:58,Up 11,1,10,45,Pass,11,"""+3x1-"" closed R, shotgun offset R",,,,"Graham (R LOS TE, 1)",Catch,25,,,RM,IS,,,Over,4,,,,,,,,,,
6,ATL,2,1:29,Up 11,1,10,20,Run,11,"""+3x1-"", closed R, shotgun offset R",,Spiller,,,,-3,,,,,IL,,Over,,,,,,,,,,,
6,ATL,3,6:05,Tied,1,10,-20,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Spiller (L RB, 2)",Catch,8,,,LS,S,,,Over,4,,,,,,,,,,
6,ATL,3,5:28,Tied,2,3,-27,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),"LOS PD, Beasley",0,,,RM,S,,,Over,4,,,,,,,,,,
6,ATL,3,5:23,Tied,3,2,-28,Pass,11,"""-1x3+"", shotgun offset L",,,,Baldwin (R3),Catch,3,"Def. face mask, Trufant, +15",,RM,S,,,2 Eagle Even,4,,,,,,,,,,
6,ATL,3,0:52,Down 7,1,10,-26,Run,11,"""+3x1-"", closed R, shotgun offset R",,R. Wilson,,,,2,,,,,SCR,,Over,4,,,,,,,,,,
6,ATL,4,13:27,Down 7,1,10,38,Pass,12,"""-1x3+"", closed L, singleback",TE in,,,"L. Wilson (R LOS TE, 3)",Catch,9,,Hard,LM,S,,,Over,4,,,,,,,,,,
6,ATL,4,12:17,Down 7,1,G-10,10,Run,11,"""-1x3*"", closed L, bunch R-, singleback",,Michael,,,,0,,,,,IR,,Over,,,,,,,,,,,
6,ATL,4,11:37,Down 7,2,G-10,10,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Spiller (L RB, 2)",Inc.,0,,,LM,S,,,Over,4,,,,,,,,,,
6,ATL,4,11:34,Down 7,3,G-10,10,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Kearse (R3),Inc.,0,,,M,ID,,,Other Even,4,,,,,,,,,,
6,ATL,4,6:27,Down 7,1,10,37,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L2),Catch,11,,,RM,S,,,Over,4,,,,,,,,,,
6,ATL,4,6:04,Down 7,1,10,26,Run,11,"""+3x1-"", closed R, shotgun offset R",,R. Wilson,,,,6,,,,,SCR,,Over,4,,,,,,,,,,
6,ATL,4,3:48,Down 1,1,10,50,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LM,S,,,Other Even,4,,,,,,,,,,
